ORIGINAL,AMENDED
Absurdism,Absurdism
Acid western,Acid western
Action,Action
Action Comedy,Action
Action Thrillers,Action
Action/Adventure,Action
Addiction Drama,Drame
Adult,Adult
Adventure,Adventure
Adventure Comedy,Adventure
Airplanes and airports,Airplanes and airports
Albino bias,Albino bias
Alien Film,Sci-Fi
Alien invasion,Sci-Fi
Americana,Americana
Animal Picture,Animals
Animals,Animals
Animated Musical,Musicals
Animated cartoon,Cartoons
Animation,Animation
Anime,Anime
Anthology,Anthology
Anthropology,Anthropology
Anti-war,Anti-war
Anti-war film,Anti-war
Apocalyptic and post-apocalyptic fiction,Apocalyptic
Archaeology,Archaeology
Archives and records,Archives and records
Art film,Art film
Auto racing,Sports
Avant-garde,Avant-garde
B-Western,B-movie
B-movie,B-movie
Backstage Musical,Musicals
Baseball,Sports
Beach Film,Beach
Beach Party film,Beach
Bengali Cinema,Bollywood
Biker Film,Sports
Biographical film,Biographical film
Biography,Biographical film
Biopic [feature],Biographical film
Black comedy,Black comedy
Black-and-white,Black-and-white
Blaxploitation,Blaxploitation
Bloopers & Candid Camera,Bloopers & Candid Camera
Bollywood,Bollywood
Boxing,Sports
Breakdance,Dance
British Empire Film,British
British New Wave,British
Bruceploitation,Bruceploitation
Buddy Picture,Buddy
Buddy cop,Buddy
Buddy film,Buddy
Business,Business
C-Movie,C-Movie
Camp,Camp
Caper story,Caper story
Cavalry Film,Cavalry Film
Chase Movie,Chase Movie
Chick flick,Chick flick
Childhood Drama,Children's
Children's,Children's
Children's Entertainment,Children's
Children's Fantasy,Children's
Children's Issues,Children's
Children's/Family,Children's
Chinese Movies,Chinese
Christian film,Christian
Christmas movie,Christmas
Clay animation,Clay animation
Cold War,Cold War
Combat Films,Combat
Comdedy,Comedy
Comedy,Comedy
Comedy Thriller,Comedy
Comedy Western,Comedy
Comedy film,Comedy
Comedy horror,Comedy
Comedy of Errors,Comedy
Comedy of manners,Comedy
Comedy-drama,Comedy
Coming of age,Coming
Coming-of-age film,Coming
Computer Animation,Computer
Computers,Computers
Concert film,Concert
Conspiracy fiction,Conspiracy
Costume Adventure,Costume
Costume Horror,Costume
Costume drama,Costume
Courtroom Comedy,Courtroom
Courtroom Drama,Courtroom
Creature Film,Creature
Crime,Crime
Crime Comedy,Crime
Crime Drama,Crime
Crime Fiction,Crime
Crime Thriller,Crime
Cult,Cult
Culture & Society,Culture
Cyberpunk,Cyberpunk
Czechoslovak New Wave,Czechoslovak
Dance,Dance
Demonic child,Demonic
Detective,Detective
Detective fiction,Detective
Disaster,Disaster
Docudrama,Docudrama
Documentary,Documentary
Dogme 95,Dogme
Domestic Comedy,Domestic
Doomsday film,Doomsday
Drama,Drama
Dystopia,Dystopia
Ealing Comedies,Comedy
Early Black Cinema,Early
Education,Educational
Educational,Educational
Ensemble Film,Ensemble
Environmental Science,Environmental
Epic,Epic
Epic Western,Epic
Erotic Drama,Adult
Erotic thriller,Adult
Erotica,Adult
Escape Film,Escape
Essay Film,Essay
Existentialism,Existentialism
Experimental film,Experimental
Exploitation,Exploitation
Expressionism,Expressionism
Extreme Sports,Extreme
Fairy tale,Fairy
Family & Personal Relationships,Family
Family Drama,Family
Family Film,Family
Family-Oriented Adventure,Family
Fan film,Fan
Fantasy,Fantasy
Fantasy Adventure,Fantasy
Fantasy Comedy,Fantasy
Fantasy Drama,Fantasy
Feature film,Feature
Female buddy film,Buddy
Feminist Film,Feminist
Fictional film,Fictional
Filipino,Filipino
Filipino Movies,Filipino
Film,Film
Film  clef,Film
Film & Television History,Film
Film adaptation,Film
Film noir,Film
Film-Opera,Film
Filmed Play,Filmed
Finance & Investing,Finance
Foreign legion,Foreign
Future noir,Future
Gangster Film,Gangster
Gay,Gay
Gay Interest,Gay
Gay Themed,Gay
Gay pornography,Adult
Gender Issues,Gender
Giallo,Giallo
Glamorized Spy Film,Glamorized
Goat gland,Goat
Gothic Film,Gothic
Graphic & Applied Arts,Graphic
Gross out,Gross
Gross-out film,Gross
Gulf War,Gulf
Hagiography,Hagiography
Hardcore pornography,Adult
Haunted House Film,Haunted
Health & Fitness,Health
Heaven-Can-Wait Fantasies,Heaven
Heavenly Comedy,Heavenly
Heist,Heist
Hip hop movies,Hip
Historical Documentaries,Historical
Historical Epic,Historical
Historical drama,Historical
Historical fiction,Historical
History,History
Holiday Film,Holiday
Homoeroticism,Homoeroticism
Horror,Horror
Horror Comedy,Horror
Horse racing,Horse
Humour,Humour
Hybrid Western,Hybrid
Illnesses & Disabilities,Illnesses
Indian Western,Indian
Indie,Indie
Inspirational Drama,Inspirational
Instrumental Music,Instrumental
Interpersonal Relationships,Interpersonal
Inventions & Innovations,Inventions
Japanese Movies,Japanese
Journalism,Journalism
Jukebox musical,Jukebox
Jungle Film,Jungle
Juvenile Delinquency Film,Juvenile
Kafkaesque,Kafkaesque
Kitchen sink realism,Unknown
LGBT,LGBT
Language & Literature,Language
Latino,Latino
Law & Crime,Law
Legal drama,Legal
Libraries and librarians,Libraries
Linguistics,Linguistics
Live action,Live
Malayalam Cinema,Malayalam
Marriage Drama,Marriage
Martial Arts Film,Martial
Master Criminal Films,Master
Media Satire,Media
Media Studies,Media
Medical fiction,Medical
Melodrama,Melodrama
Mockumentary,Mockumentary
Mondo film,Mondo
Monster,Monster
Monster movie,Monster
Movie serial,Movie
Movies About Gladiators,Movies
Mumblecore,Mumblecore
Music,Music
Musical,Musical
Musical Drama,Musical
Musical comedy,Musical
Mystery,Mystery
Mythological Fantasy,Mythological
Natural disaster,Natural
Natural horror films,Natural
Nature,Nature
Neo-noir,Neo
Neorealism,Neorealism
New Hollywood,New
New Queer Cinema,New
News,News
Ninja movie,Ninja
Northern,Northern
Nuclear warfare,Nuclear
Operetta,Operetta
Outlaw,Outlaw
Outlaw biker film,Outlaw
Parkour in popular culture,Parkour
Parody,Parody
Patriotic film,Patriotic
Period Horror,Period
Period piece,Period
Pinku eiga,Pinku
Plague,Plague
Point of view shot,Point
Political Documetary,Political
Political cinema,Political
Political drama,Political
Political satire,Political
Political thriller,Political
Pornographic movie,Adult
Pornography,Adult
Pre-Code,Pre-Code
Prison,Prison
Prison escape,Prison
Prison film,Prison
Private military company,Private
Propaganda film,Propaganda
Psycho-biddy,Psychological
Psychological horror,Psychological
Psychological thriller,Psychological
Punk rock,Punk
Race movie,Race
Reboot,Reboot
Religious Film,Religious
Remake,Remake
Revenge,Revenge
Revisionist Fairy Tale,Revisionist
Revisionist Western,Revisionist
Road movie,Road
Road-Horror,Horror
Roadshow theatrical release,Roadshow
Roadshow/Carny,Roadshow
Rockumentary,Rockumentary
Romance Film,Romance
Romantic comedy,Romantic
Romantic drama,Romantic
Romantic fantasy,Romantic
Romantic thriller,Romantic
Samurai cinema,Samurai
Satire,Satire
School story,School
Sci Fi Pictures original films,Sci-Fi
Sci-Fi Adventure,Sci-Fi
Sci-Fi Horror,Sci-Fi
Sci-Fi Thriller,Sci-Fi
Science Fiction,Sci-Fi
Science fiction Western,Sci-Fi
Screwball comedy,Screwball
Sex comedy,Sex
Sexploitation,Sexploitation
Short Film,Short
Silent film,Silent
Silhouette animation,Silhouette
Singing cowboy,Singing
Slapstick,Slapstick
Slasher,Slasher
Slice of life story,Unknown
Social issues,Social
Social problem film,Social
Softcore Porn,Adult
Space opera,Space
Space western,Space
Spaghetti Western,Spaghetti
Splatter film,Splatter
Sponsored film,Sponsored
Sports,Sports
Spy,Spy
Stand-up comedy,Stand
Star vehicle,Star
Statutory rape,Adult
Steampunk,Steampunk
Stoner film,Stoner
Stop motion,Stop
Superhero,Superhero
Superhero movie,Superhero
Supermarionation,Supermarionation
Supernatural,Supernatural
Surrealism,Surrealism
Suspense,Suspense
Swashbuckler films,Swashbuckler
Sword and Sandal,Sword
Sword and sorcery,Sword
Sword and sorcery films,Sword
Tamil cinema,Tamil
Teen,Teen
Television movie,Television
The Netherlands in World War II,Unknown
Therimin music,Therimin
Thriller,Thriller
Time travel,Time
Tokusatsu,Tokusatsu
Tollywood,Tollywood
Tragedy,Tragedy
Tragicomedy,Tragicomedy
Travel,Travel
Vampire movies,Vampire
War effort,War
War film,War
Werewolf fiction,Werewolf
Western,Western
Whodunit,Whodunit
Women in prison films,Women
Workplace Comedy,Workplace
World History,World
World cinema,World
Wuxia,Wuxia
Z movie,Unknown
Zombie Film,Zombie
